Name,Description,Category,Priority,Due Date,Done,Recurrence
Renew driving licence,Complete online renewal application,Personal,Medium,24/11/2025,Yes,
Plan weekend trip,Research destinations and book accommodation,Personal,High,24/11/2025,Yes,Weekly
Book physio appointment,Address recurring shoulder tension,Health,Medium,24/11/2025,Yes,
Track water intake,Aim for 2.5L throughout the day,Health,Low,24/11/2025,Yes,Monthly
Pick up prescription,Collect medication from pharmacy,Shopping,Low,24/11/2025,No,
Transfer savings,Move surplus to ISA or investment account,Finance,Medium,24/11/2025,No,
Clean up desktop,Organise files and remove shortcuts,General,High,24/11/2025,Yes,Daily
Refactor notifications module,Clean up legacy code and improve readability,Work,Medium,24/11/2025,Yes,
File expense report,Collect receipts and submit via portal,Finance,Medium,24/11/2025,Yes,Monthly
Research pension contributions,Review employer match options,Finance,Low,24/11/2025,Yes,
Reply to emails,Clear inbox and action pending messages,General,High,24/11/2025,No,Monthly
Deep clean kitchen,Full clean of the kitchen,Personal,Medium,24/11/2025,No,Daily
Deploy QA build,Push latest build to QA environment,Work,Medium,24/11/2025,Yes,
Pick up prescription,Collect medication from pharmacy,Shopping,Medium,24/11/2025,No,
Review credit card statement,Check for any unusual charges,Finance,Medium,25/11/2025,No,
Reply to emails,Clear inbox and action pending messages,General,Medium,25/11/2025,No,
Schedule monthly review,Block calendar time for retrospective,General,High,25/11/2025,No,Daily
Rest day — stretching only,Active recovery with light stretching,Health,Medium,25/11/2025,Yes,Daily
Transfer savings,Move surplus to ISA or investment account,Finance,Low,25/11/2025,Yes,
Compare insurance policies,Annual review of home and car cover,Finance,Medium,25/11/2025,No,Weekly
Print contract,Download and print required contract,General,Medium,25/11/2025,Yes,Monthly
Compare prices for headphones,Find best deal before purchasing,Shopping,Low,25/11/2025,Yes,
Review monthly budget,Check spending and adjust forecast,Finance,Low,25/11/2025,Yes,
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,Medium,25/11/2025,No,
Pay off credit card balance,Clear full balance before due date,Finance,Low,25/11/2025,No,Monthly
Blood pressure check,Visit pharmacy for quick reading,Health,Medium,25/11/2025,Yes,
Return protein powder,Send back unwanted protein powder within return window,Shopping,Medium,26/11/2025,Yes,
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,High,26/11/2025,No,
Deep clean kitchen,Full clean of the kitchen,Personal,Medium,26/11/2025,Yes,
Check investment portfolio,Review ETF performance and rebalance,Finance,Low,26/11/2025,Yes,
Pay off credit card balance,Clear full balance before due date,Finance,Medium,26/11/2025,No,
Compare insurance policies,Annual review of home and car cover,Finance,Medium,26/11/2025,No,
Refactor notifications module,Clean up legacy code and improve readability,Work,Low,26/11/2025,Yes,
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,Medium,26/11/2025,Yes,
New Year goals review,Check progress on annual objectives,Personal,Medium,26/11/2025,Yes,Daily
Reply to emails,Clear inbox and action pending messages,General,Low,26/11/2025,Yes,
Renew parking permit,Submit renewal before current one expires,General,Medium,26/11/2025,No,
Hotfix deployment,Push emergency fix to production,Work,Low,26/11/2025,Yes,
Book physio appointment,Address recurring shoulder tension,Health,Low,26/11/2025,Yes,
Review credit card statement,Check for any unusual charges,Finance,Medium,27/11/2025,No,Weekly
Resolve merge conflict in settings,Fix conflicting changes in branch,Work,Medium,27/11/2025,Yes,
Code review session,Review team's open pull requests,Work,High,27/11/2025,No,
Renew driving licence,Complete online renewal application,Personal,Medium,27/11/2025,Yes,Weekly
Pay off credit card balance,Clear full balance before due date,Finance,Medium,27/11/2025,Yes,Monthly
Shop for winter essentials,Buy thermal layers and accessories,Shopping,Medium,27/11/2025,Yes,
Update passwords,Rotate credentials for key accounts,General,Medium,27/11/2025,No,
Reply to emails,Clear inbox and action pending messages,General,Low,27/11/2025,Yes,
Read chapter of Clean Code,Continue reading Clean Code,Personal,High,27/11/2025,No,Monthly
Return vitamins,Send back unwanted vitamins within return window,Shopping,Medium,27/11/2025,Yes,
Buy gift for Lena,Find appropriate gift under budget,Shopping,Low,27/11/2025,Yes,Daily
Write in journal,Reflect on the week and set intentions,Personal,Medium,27/11/2025,No,
Restock running shoes,Running low — order more running shoes,Shopping,Low,27/11/2025,Yes,
Call Sarah,Catch up with Sarah over the phone,Personal,Medium,28/11/2025,No,
Pay electricity bill,Monthly payment via online banking,Finance,Medium,28/11/2025,Yes,
Pay off credit card balance,Clear full balance before due date,Finance,Medium,28/11/2025,Yes,Daily
Blood pressure check,Visit pharmacy for quick reading,Health,Medium,28/11/2025,Yes,
Pay broadband bill,Monthly payment via online banking,Finance,Medium,28/11/2025,Yes,
Shop for winter essentials,Buy thermal layers and accessories,Shopping,Medium,28/11/2025,Yes,
Pay off credit card balance,Clear full balance before due date,Finance,Medium,28/11/2025,No,
Update API documentation,Add new endpoints to Swagger docs,Work,Medium,28/11/2025,Yes,Monthly
Pay off credit card balance,Clear full balance before due date,Finance,High,28/11/2025,No,
Declutter wardrobe,Bag up old clothes for charity donation,Personal,Medium,28/11/2025,Yes,
Morning run 15km,Steady pace training run,Health,Low,28/11/2025,No,
Grocery shop,Stock up on weekly essentials,Shopping,High,28/11/2025,No,Monthly
Rest day — stretching only,Active recovery with light stretching,Health,Medium,28/11/2025,Yes,Monthly
Review pull request #15,Code review for the latest changes,Work,Medium,28/11/2025,No,Monthly
Resolve merge conflict in storage,Fix conflicting changes in branch,Work,Medium,29/11/2025,Yes,Daily
Resolve merge conflict in reports,Fix conflicting changes in branch,Work,Low,29/11/2025,Yes,Weekly
Clean up desktop,Organise files and remove shortcuts,General,Low,29/11/2025,Yes,
Fix CSS layout on dashboard page,Resolve responsive design issues,Work,Medium,29/11/2025,No,
Check local news,Read area updates and community notices,General,Low,29/11/2025,No,
Buy protein powder,Purchase protein powder from local store or online,Shopping,Low,29/11/2025,Yes,Monthly
Buy coffee beans,Purchase coffee beans from local store or online,Shopping,High,29/11/2025,Yes,Monthly
Print form,Download and print required form,General,Low,29/11/2025,Yes,
Refactor settings module,Clean up legacy code and improve readability,Work,High,29/11/2025,Yes,
Cancel unused subscription,Remove service no longer needed,Finance,Medium,29/11/2025,Yes,
Shop for winter essentials,Buy thermal layers and accessories,Shopping,Medium,29/11/2025,Yes,Weekly
Submit tax documents,Upload supporting documents to HMRC,Finance,Medium,29/11/2025,Yes,Monthly
Shop for winter essentials,Buy thermal layers and accessories,Shopping,Medium,29/11/2025,No,
Check local news,Read area updates and community notices,General,High,29/11/2025,No,Monthly
Update API documentation,Add new endpoints to Swagger docs,Work,Medium,30/11/2025,Yes,
Plan weekend trip,Research destinations and book accommodation,Personal,High,30/11/2025,No,Monthly
Plan birthday celebration for Marco,"Organise venue, guests and cake",Personal,High,30/11/2025,Yes,
Update emergency contacts,Add new phone numbers and addresses,Personal,Medium,30/11/2025,Yes,
Meal prep for the week,Cook and portion meals for Monday to Friday,Personal,High,30/11/2025,Yes,Daily
Backup files to cloud,Sync important documents to cloud storage,General,Medium,30/11/2025,No,Daily
Pay water bill,Monthly payment via online banking,Finance,High,30/11/2025,No,Weekly
Buy gift for the team,Find appropriate gift under budget,Shopping,High,30/11/2025,Yes,
Restock keyboard,Running low — order more keyboard,Shopping,Low,30/11/2025,No,
Write in journal,Reflect on the week and set intentions,Personal,Medium,30/11/2025,No,Monthly
Shop for winter essentials,Buy thermal layers and accessories,Shopping,Medium,30/11/2025,Yes,Monthly
Check investment portfolio,Review ETF performance and rebalance,Finance,High,30/11/2025,Yes,Daily
Track water intake,Aim for 2.5L throughout the day,Health,Medium,30/11/2025,No,
Compare prices for coffee beans,Find best deal before purchasing,Shopping,Medium,30/11/2025,No,Weekly
Research investing,Read articles and save key notes,Personal,Medium,30/11/2025,No,Monthly
Follow up on protein powder,Chase outstanding response on protein powder,General,Medium,01/12/2025,No,
Submit tax documents,Upload supporting documents to HMRC,Finance,Medium,01/12/2025,Yes,Weekly
Meal prep healthy lunches,Cook proteins and salads for the week,Health,Medium,01/12/2025,Yes,
Call Lena,Catch up with Lena over the phone,Personal,Low,01/12/2025,No,Monthly
Backup files to cloud,Sync important documents to cloud storage,General,High,01/12/2025,No,
Fix intermittent bug in storage,Investigate and resolve the issue in storage,Work,Medium,01/12/2025,Yes,
Resolve merge conflict in notifications,Fix conflicting changes in branch,Work,Medium,01/12/2025,Yes,
Doctor checkup,Annual physical examination,Health,Medium,01/12/2025,No,
Reply to emails,Clear inbox and action pending messages,General,Low,01/12/2025,No,
New Year goals review,Check progress on annual objectives,Personal,Low,01/12/2025,Yes,
Check local news,Read area updates and community notices,General,Medium,01/12/2025,No,
Meal prep healthy lunches,Cook proteins and salads for the week,Health,Medium,01/12/2025,No,
Clean up desktop,Organise files and remove shortcuts,General,High,02/12/2025,Yes,
Plan birthday celebration for mum,"Organise venue, guests and cake",Personal,Medium,02/12/2025,Yes,
Book physio appointment,Address recurring shoulder tension,Health,Medium,02/12/2025,Yes,
Schedule monthly review,Block calendar time for retrospective,General,Low,02/12/2025,Yes,
Morning run 5km,Steady pace training run,Health,Medium,02/12/2025,No,
Pick up prescription,Collect medication from pharmacy,Shopping,Low,02/12/2025,No,
Backup files to cloud,Sync important documents to cloud storage,General,Low,02/12/2025,No,Daily
Meal prep for the week,Cook and portion meals for Monday to Friday,Personal,Medium,02/12/2025,Yes,Daily
Buy gift for Alice,Find appropriate gift under budget,Shopping,Low,02/12/2025,No,
Gym workout — core,Focus session on core,Health,Medium,02/12/2025,Yes,Weekly
Fix backend bug in notifications,Investigate and resolve the issue in notifications,Work,Low,02/12/2025,Yes,Weekly
Database migration script,Write and test migration for schema change,Work,Medium,02/12/2025,No,
Blood pressure check,Visit pharmacy for quick reading,Health,Medium,02/12/2025,Yes,Daily
Team standup preparation,Prepare blockers and progress updates,Work,Medium,03/12/2025,Yes,
