Name,Description,Category,Priority,Due Date,Done
Research new project ideas,Brainstorm and document ideas for Q1 initiatives,Work,High,20/11/2025,Yes
Fix login bug,Resolve authentication timeout issue in production,Work,High,22/11/2025,Yes
Buy winter jacket,Check sales at local stores and online,Shopping,Low,25/11/2025,Yes
Doctor checkup,Annual physical examination at GP surgery,Health,High,28/11/2025,Yes
Pay phone bill,Monthly payment via online banking portal,Finance,Medium,30/11/2025,Yes
Prepare sprint review,Gather metrics and prepare slides for sprint 14 demo,Work,High,03/12/2025,Yes
Order Christmas gifts,Buy gifts for family members before shipping deadlines,Shopping,Medium,05/12/2025,Yes
Run 10km training,Long run as part of half marathon prep,Health,Medium,08/12/2025,Yes
Review annual budget,Go over spending categories and update spreadsheet,Finance,High,10/12/2025,Yes
Write project proposal,Draft proposal document for new internal tool,Work,High,13/12/2025,Yes
Deep clean kitchen,Clean oven fridge and cupboards thoroughly,Personal,Low,15/12/2025,Yes
Cancel gym membership,Switch to home workout routine to save costs,Finance,Medium,18/12/2025,Yes
Buy groceries for Christmas,Stock up on food and drinks for the holidays,Shopping,Low,21/12/2025,Yes
Call grandparents,Christmas call catch-up with grandma and grandpa,Personal,Medium,25/12/2025,Yes
Update portfolio website,Add new projects and refresh the design,Work,Medium,29/12/2025,Yes
New Year goals planning,Write down personal and professional goals for 2026,Personal,High,01/01/2026,Yes
Refactor database module,Clean up legacy queries and add indexes,Work,High,10/01/2026,Yes
Buy new running shoes,Replace worn out trail shoes for winter training,Shopping,Medium,20/01/2026,Yes
Schedule eye test,Book appointment overdue since last year,Health,High,05/02/2026,Yes
File January expenses,Collect receipts and submit expense report,Finance,Medium,04/03/2026,Yes
